#,Job_ID,ModelFile,@@n50@@,@@TURN@@,@@flag_AW@@,@@EXT_WALL@@,@@EXT_ROOF@@,@@EXT_WINDOW_street@@,@@EXT_WINDOW_patio@@,@@M04_WALL@@,@@AI02_ROOF@@,Message,Errors,Warnings,Calculation Time,Trace %Time,Trace Components
75,P221_270_W8_R5,Building1_whitemodel.dck,5,270,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB3,EXT_WINDOW1_REHAB1,EXT_WINDOW1_REHAB1,0.08,0.1,TRNSYS Completed Successfully,0,31,681.1500 Seconds,0.00%,-
69,P221_90_W6_R5,Building1_whitemodel.dck,5,90,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB3,EXT_WINDOW1_REHAB1,EXT_WINDOW1_REHAB1,0.06,0.1,TRNSYS Completed Successfully,0,31,700.6300 Seconds,0.00%,-
73,P221_90_W8_R5,Building1_whitemodel.dck,5,90,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB3,EXT_WINDOW1_REHAB1,EXT_WINDOW1_REHAB1,0.08,0.1,TRNSYS Completed Successfully,0,31,685.8800 Seconds,0.00%,-
76,P222_0_W6_R5,Building1_whitemodel.dck,5,0,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB4,EXT_WINDOW1_REHAB1,EXT_WINDOW1_REHAB1,0.06,0.1,TRNSYS Completed Successfully,0,30,682.8200 Seconds,0.00%,-
80,P222_0_W8_R5,Building1_whitemodel.dck,5,0,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB4,EXT_WINDOW1_REHAB1,EXT_WINDOW1_REHAB1,0.08,0.1,TRNSYS Completed Successfully,0,30,476.4200 Seconds,0.00%,-
78,P222_180_W6_R5,Building1_whitemodel.dck,5,180,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB4,EXT_WINDOW1_REHAB1,EXT_WINDOW1_REHAB1,0.06,0.1,TRNSYS Completed Successfully,0,31,682.7300 Seconds,0.00%,-
82,P222_180_W8_R5,Building1_whitemodel.dck,5,180,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB4,EXT_WINDOW1_REHAB1,EXT_WINDOW1_REHAB1,0.08,0.1,TRNSYS Completed Successfully,0,31,457.5300 Seconds,0.00%,-
79,P222_270_W6_R5,Building1_whitemodel.dck,5,270,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB4,EXT_WINDOW1_REHAB1,EXT_WINDOW1_REHAB1,0.06,0.1,TRNSYS Completed Successfully,0,31,681.5700 Seconds,0.00%,-
83,P222_270_W8_R5,Building1_whitemodel.dck,5,270,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB4,EXT_WINDOW1_REHAB1,EXT_WINDOW1_REHAB1,0.08,0.1,TRNSYS Completed Successfully,0,31,467.8500 Seconds,0.00%,-
77,P222_90_W6_R5,Building1_whitemodel.dck,5,90,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB4,EXT_WINDOW1_REHAB1,EXT_WINDOW1_REHAB1,0.06,0.1,TRNSYS Completed Successfully,0,31,682.8500 Seconds,0.00%,-
81,P222_90_W8_R5,Building1_whitemodel.dck,5,90,0,EXT_WALL_MARES_REHAB1,B_1901-1940_ROOF1_REHAB4,EXT_WINDOW1_REHAB1,EXT_WINDOW1_REHAB1,0.08,0.1,TRNSYS Completed Successfully,0,31,457.6800 Seconds,0.00%,-
